title;start_time;end_time;description;exercise_title;exercise_notes;set_index;set_type;weight_kg;reps;distance_km;duration_seconds;rpe
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Chin Up;;1;normal;;6;;;
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Lat Pulldown (Cable);;0;normal;50;12;;;
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Lat Pulldown (Cable);;1;normal;50;12;;;
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Lat Pulldown (Cable);;2;normal;50;12;;;
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Chin Ups (Cable);;0;normal;55;12;;;
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Chin Ups (Cable);;1;normal;55;12;;;
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Chin Ups (Cable);;2;normal;55;10;;;
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Seated Cable Row - Bar Grip;;0;normal;40;12;;;
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Seated Cable Row - Bar Grip;;1;normal;40;12;;;
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Seated Cable Row - Bar Grip;;2;normal;40;12;;;
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Bicep Curl (Dumbbell);;0;normal;8;12;;;
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Bicep Curl (Dumbbell);;1;normal;8;10;;;
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Bicep Curl (Dumbbell);;2;normal;8;7;;;
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Hammer Curl (Dumbbell);;0;normal;8;6;;;
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Hammer Curl (Dumbbell);;1;normal;6;10;;;
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Hammer Curl (Dumbbell);;2;normal;6;10;;;
Pecho-tríceps;11 Dec 2023, 15:09;11 Dec 2023, 16:41;;Bench Press (Barbell);;0;normal;50;12;;;
Pecho-tríceps;11 Dec 2023, 15:09;11 Dec 2023, 16:41;;Bench Press (Barbell);;1;normal;55;10;;;
